"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8695.0545939535","8920.49651554123","9333.40977957505","9242.36729551735","9121.86128109167","9003.19901894781","8797.2947477796","8573.51010293245","8256.36511825689","7885.63796465742","7741.63704849366","8182.82037884518","8472.10250092415","8699.27001777677","8900.79115821869","8956.08757462207","9174.01130835212","9621.78965287544","10172.6426993518","11038.3432283362","10346.5862498259","","",
"Antigua and Barbuda","ATG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","10712.0371465229","10732.9899552282","10737.393196315","11107.3219226681","11658.2713182461","12002.8639124284","12076.3939346355","12535.9112062084","12928.4973887498","13335.4388491225","13875.7060482277","13935.4885105053","14173.5943134015","14613.2635746888","15142.5404958479","15681.0411941098","15644.7085432361","16288.5669293337","16416.3510017401","16485.5235164342","16577.6560948223","16853.6353500614","17486.6496144201","17661.448817024","17628.8562282578","17467.467944054","18070.0068903173","18156.3092902037","18436.206176506","18968.4910061888","19497.8861845759","19440.4207374747","19680.2468051168","19877.498345095","20112.1498963001","20767.2631481743","21210.5662063346","21584.8016588262","22466.4717151351","23458.0512353738","24164.2876875015","24649.3136044785","25083.3209163174","25858.107455667","26938.8907749302","27820.7719477088","28357.5069118583","29322.042942294","30139.0855870188","29648.4525833655","30207.8815360397","30988.8234184199","31351.6162298535","31439.0258357385","31685.7243974838","32044.4417787966","32389.9153783147","32648.5998657413","33071.299145192","33138.3555331904","31660.4523421088","31843.6403752252","32787.7648082231","34105.1025047927","33778.43887805",
"Austria","AUT","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","9886.43707698221","10503.6487608872","11077.7173419725","11608.3002365912","11935.3019176823","12355.6133138098","12939.9443790989","13766.6812220133","13542.8461190863","14209.8910740717","14567.9527101936","14716.1747624036","14988.4279122389","15828.4950273413","15492.7028137847","15765.8530431271","16101.3569622521","16480.2244027408","16853.1732738908","17379.4188757363","17977.8936444627","18332.3787666278","18762.5836472279","18628.2090256399","18935.7682385117","19067.9649008791","19601.8766898424","19661.92794135","20210.9718813646","20659.3447982118","21252.0135794364","21441.9998908602","21482.2799380836","21750.471777238","22117.628677025","22461.3821185147","22818.1789343277","22995.3691352011","23140.4260957776","23276.2178385652","23451.231331976","23686.6910457616","23702.0043017186","23544.0998309886","23431.7517992692","23283.6083256759","23389.1208081631","23681.6715707122","23827.4848048005","23851.9195197621","21727.1843402849","22544.7809848605","23594.8540897255","23298.5288472272","",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.24340673105","","","","","","","","","",
"Burundi","BDI","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.015739283815","223.85090090843","213.036649050208","206.231124173702","202.688527173899","213.269700443706","199.90594165813","200.294893634409","217.452110057875","231.63327201415","219.955701342396","218.382933575655","208.245617322359","198.216940635638","206.277892952941","206.916392868635","220.637431720084","221.315032138233","211.899307777663","204.757940983323","200.316917687198","201.162353185797","200.69869654302","195.608235266542","196.135685391646","195.501916222688","195.46245030923","",
"Belgium","BEL","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","9474.09967265778","9922.05643245329","10468.3049622655","11285.8991976624","11565.9569455181","11631.2695078233","12200.7933972107","12506.3759879496","12806.6218658905","13451.6897440125","13327.658362459","13383.7123484672","13713.8020929131","13694.2922494777","13745.0339379448","14113.1059624148","14491.6606079088","14730.5748368704","15171.030321326","15616.0189946121","16063.7745077923","16487.5675032808","16734.1461579988","16594.1700799092","16939.3031532071","17170.2756450714","17473.2186190288","17698.2172853622","18214.842423128","18557.074204369","19033.5860831606","19147.151024877","19178.0925920088","19235.0670466917","19355.8106439743","19527.6535504474","19743.5912248334","20009.2088081513","20124.7187641829","20080.1358815586","20496.239346467","20406.3971454384","20577.8391174039","20822.9550915786","20845.1557220647","21053.2266462899","21275.7794687839","21595.0150970053","21915.0432122873","22166.9356931225","20262.9834535023","21449.9342458646","21959.1736103304","22084.5032306155","",
"Benin","BEN","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","567.146907471015","567.107954016731","550.705126781233","585.974236498949","626.197616478854","658.248294040084","710.785108382005","713.09337605499","722.334374788376","708.597376694448","703.849070421745","694.707963341483","705.515300184169","715.669934993707","702.768817299575","672.274814893262","655.055469061372","716.145846956591","716.80175260169","734.428295099122","753.196904804935","798.864908507421","685.58707528309","654.804992098184","687.656989778139","742.563001259095","709.168366946057","673.619442544673","728.168368289131","654.715322605929","600.438964000846","637.428736963081","654.050908388832","658.766148896961","600.866792325339","613.168625498186","631.564590152051","643.970904186521","658.450358190676","672.338611568292","701.076908215544","709.816958996746","718.30488251513","715.606422491254","722.082788315932","713.738493740693","721.996237689699","727.337822750794","736.315207503574","734.801639247406","727.806312292741","732.913634639619","725.101517168975","732.531905997737","737.408938877349","753.539958713957","745.975972806869","750.157385183968","754.871879863731","760.210662013755","764.146035406116","780.332012263033","804.926703638741","832.281666675589","852.906033149623",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","268.055431242228","267.099040141064","298.947567046673","299.352842822531","301.141771890879","278.534360713678","279.260110653623","262.625315989185","255.70210599907","266.111708167683","277.751637168636","290.044382833985","315.394110993505","305.278898118347","305.056057058154","318.85505965175","323.087517382206","319.628397407956","312.010247360419","283.828953140795","288.524274774714","320.141743072276","295.434325866376","303.765140850983","290.370054132298","274.407478114906","281.620641481844","276.71106257294","287.881110581128","224.507768706619","255.908565121787","295.191585639495","294.723482813596","324.646869323587","368.55961627136","359.515772372602","353.17025138051","360.816750698232","367.752066701435","379.84050922017","388.187650072713","392.325657357029","386.902375039296","402.922715216483","395.3849613867","404.834291886421","415.26967313261","441.088975357419","455.169832231686","447.692218045539","450.684820295769","456.308911994972","459.182455156753","457.561639904303","461.492996954802","459.01958811524","465.335419701234","475.598883247652","477.779336845939","511.64337194632",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","740.566585561843","784.416839158863","748.677102848961","762.882007601511","819.422454815381","799.670719789519","789.930790584681","763.376973117983","763.927094034576","772.541446042685","818.602734723546","776.106490610809","714.329269476234","596.846196272464","552.1269194645","513.05441022431","499.399087919531","426.229823102091","481.239658148462","484.451112975453","492.179745151928","463.4256557467","436.594379304425","436.189544892736","455.749016425994","450.53140130506","452.652648076624","454.746393148274","462.44740994784","457.166687611913","482.391036509987","471.762086500366","481.219939099559","488.422119401354","497.008323503963","506.134238255736","496.487005403912","492.487677240095","491.440576364437","501.437261770191","516.853053993219","529.315681522686","526.719059257934","540.141968921992","564.645031869589","595.106012200744","629.692590222237","669.265515764412","688.990572749147","698.243146386791","724.016350513495","764.044000559947","787.89165913446","820.553735461623","845.680948186388","886.912376471498","905.423294896181","954.032882081033","1035.30373959093","1076.42245250605","1099.4473259373","1177.93400717848","1253.10179441914","1262.45721547606","1321.93978486053",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","2171.52100359978","2262.2796147525","2374.66460392895","2423.41077672653","2542.38958778338","2539.67497865435","2588.7141437374","2732.63878601175","2908.62795804997","2830.54560678247","3046.23647228073","2305.88303811324","2274.83959825519","2226.55909468706","2135.83119111884","2544.77371169869","2647.08629867994","1801.72419703157","1763.85061093145","1899.54139502381","2080.74238459875","2285.49312842585","2468.60345066154","2649.83583246718","2922.82635346931","3160.32803181868","3456.1513036489","3881.78230901188","4045.58133222086","3898.10932381178","4016.69287573368","4122.93388949123","4301.58915594683","4219.65065844892","4334.49515846141","4511.9981129479","4666.26883188678","4844.64886138585","5073.11610017297","5453.818109418","5494.59110418829","6008.67277601367","6290.64300870434","6376.01642771185","6696.71870177307",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10075.8332058143","10437.3271740521","9781.35712008892","9389.53778320964","8841.19216702988","8418.30181387134","7882.66732886259","7635.68033597882","9002.34166137992","9353.64322790374","10677.6079784793","11230.8756260515","11226.8481970456","11902.0909124203","11269.1889908162","11088.1492382269","10649.2284603495","10232.2822894576","10393.8894229825","10544.8066444012","10161.4000289832","10523.3546166285","11101.0537462456","11233.4275205","11566.2727329295",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20045.9390234019","19297.4705179198","18147.7216265679","16928.2649109153","16562.5426578675","16630.5338204891","17553.0427395724","18389.8144808844","19812.0472565827","21804.8291892764","23262.7682501176","23488.50060353","23370.8790707992","23944.2183345806","23483.7620694413","22833.2570743721","24389.3032269312","24784.4911587591","24735.3972028785","23531.2928276538","20901.0531067805","20848.2746808954","20160.2231304439","19130.6531035388","18601.9702204059","19423.4272609782","19561.6407073124","19718.889882432","20925.9787358739","20909.2509939573","18639.8999803037","15188.5386968258","18441.6659870945","18788.0686341076","20393.4926911592","20956.502613102",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2244.37960786444","2333.17664402938","2455.02941313456","2561.9791397978","2752.28116787515","2898.79650463436","3006.92069051945","3196.92385548159","3412.37983311043","3371.76511594765","3440.07605506902","3513.99084354777","3565.4665564541","3627.58702897161","3734.06615874169","3829.89227791387","3921.84613522086","4034.93944652736","4163.32118753932","4285.97196711555","4220.95864225611","4473.1840476049","4762.70713785981","4985.48981641485","5240.69004321841",
